,Bvp5c – matlab,,RCD sin Difusion artificial (sec),,,,
I_delta,Nodos,tiempo (sec),11 nodes,21 nodes,51 nodes,101 nodes,251 nodes
0.001,163,1.14,0.172784,0.11733,0.279858,0.279858,0.961325
0.02,82,0.46,0.040801,0.038876,0.203262,0.203262,0.945643
0.05,82,0.44,0.044515,0.038033,0.193854,0.193854,0.924764
0.1,45,0.55,0.051578,0.081149,0.194822,0.194822,0.915122
0.2,41,0.66,0.060324,0.094627,0.198857,0.198857,0.872781
0.3,30,0.48,0.073208,0.250081,0.54083,0.54083,0.881235
0.4,32,0.74,0.080443,0.319633,0.586485,0.586485,0.870432
0.5,42,1.08,0.094363,0.38427,0.734618,0.734618,0.872065
0.6,67,2.11,0.165154,0.268656,0.716444,0.716444,2.470455
0.67,90,2.88,0.215275,0.189177,0.922194,0.922194,2.933547
0.7,68,3.21,0.236081,0.235923,0.968476,0.968476,3.279802
